title,reldate,ageres,cover,plot,trailers,duration,likes,name
1978 A Teen Night Out,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/1978-et00100940-16-04-2019-02-47-35.jpg,"Set in the 1970s, the film follows seven teenagers who find their lives in jeopardy after getting trapped in a haunted mansion. Directed by Aziz Zee, the horror thriller stars  Yash Rajpara, Apurva  Godbole, Gaurav Sharma and Vaishnavi  Kadam in pivotal roles.",N/A,N/A,2724,1978 A Teen Night Out
Gunwali Dulhaniya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/gunwali-dulhaniya-et00098257-08-03-2019-11-23-37.jpg,"Sharmili, a girl from Lucknow is all set to be married when, on the night of her wedding, she is kidnapped by a goon Bhaiyaji who asks for Rs 5 crore as ransom.",N/A,N/A,619,Gunwali Dulhaniya
Hansa Ek Sanyog,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/hansa-ek-sanyog-et00098360-08-03-2019-10-28-34.jpg,The film highlights the struggle of a transgender child for identity in the society and Kinnar community. It also explores their psyche and inner turmoils as they fight for the right to live with dignity.,N/A,N/A,513,Hansa Ek Sanyog
Uglydolls,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/uglydolls-et00088254-12-11-2018-04-03-41.jpg,"Far off in the land of UglyVille lives the UglyDolls, who are far from perfect yet totally awesome. This is the story of these free-spirited dolls, as they confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",N/A,N/A,4147,Uglydolls
K 13,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/k-13-et00099176-18-03-2019-06-03-43.jpg,"K 13 is a Tamil movie starring Shraddha Srinath and Yogi Babu in prominent roles. It is a drama directed by Bharath Neelakantan with Sam C.S. as musician, forming part of the crew.",N/A,N/A,929,K 13
Lucifer (Tamil),"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/lucifer-2019-et00101782-30-04-2019-02-52-32.jpg,"In God`s own country, the supreme leader of the ruling party dies, leaving a huge vacuum, not only in the electoral and leadership sphere of the party but also that of the state. In the inevitable succession squabble and the power struggle that ensues, the thin line that separates good and bad becomes irrecoverably blurred and out of this seemingly endless mayhem, emerge forces that are hitherto unheard of.",N/A,N/A,111,Lucifer (Tamil)
Rangupaduddi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rangupaduddi-et00101577-25-04-2019-07-58-08.jpg,"Six people. One haunted bungalow. A long night of terrors. Will they succeed or succumb? Directed by Shyam Prasad, Rangupaduddi is a horror comedy featuring an ensemble cast.",N/A,N/A,98,Rangupaduddi
Baalaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/balaa-et00100467-09-04-2019-11-40-55.jpg,"Balaa is a Marathi movie starring Upendra Limaye, Kranti Redkar, Vikram Gokhale and Suhasini Mulay in prominent roles. It is a drama directed & written by Sachindra Sharma with Rakesh Singh as producer, forming part of the crew.",N/A,N/A,193,Baalaa
Ombathane Adbutha,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ombathane-adbutha-et00100356-07-04-2019-02-43-21.jpg,"Three stories are woven together by a series of interconnected events in this suspense thriller. Directed by Santosh Kumar Batageri, the film stars Santhosh, Nayana Sai, Century Gowda and Michael Madhu in pivotal roles.",N/A,N/A,205,Ombathane Adbutha
Loafers,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/loafers-et00101509-25-04-2019-11-44-35.jpg,"In a reckless pursuit of happiness and instant gratification, a group of youngsters lose their way and fall into the wrong path. Will it be too late before they realise their mistakes?",N/A,N/A,87,Loafers
Gara,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/gara-2019-et00100351-06-04-2019-03-08-38.jpg,"Inspired by the R.K. Narayan story ""An Astrologer`s Day"", Gara revolves around the life of a conman with a dark past who poses as an astrologer to make a living. Directed by K.R. Muralikrishna, Rahman Hassan, Pradeep Aryan, Avanthika Mohan, Johnny Lever and Sadhu Kokila in central roles.",N/A,N/A,418,Gara
Ikkayude Shakadam,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ikkayude-shakadam-et00100937-16-04-2019-02-31-39.jpg,Ikkayude Shakadam is a Malayalam movie starring Appani Sarath and DJ Thommi in prominent roles. It is a drama directed by Prince Avaraachan.,N/A,N/A,813,Ikkayude Shakadam
Blackia,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/blackia-et00099830-29-03-2019-03-41-35.jpg,"Blackia is based on the gold rush at Punjab`s international border during the 1970s, when many gold smuggling gangs were fighting to monopolise the business.  An innocent college boy is drawn into this war for power, and takes control of the underworld.",N/A,N/A,1509,Blackia
Jind Jaan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jind-jaan-et00097474-26-02-2019-03-34-06.jpg,"Jind Jaan is a Punjabi movie starring Rajvir Jawanda, Sara Sharma and Jaswinder Bhalla in prominent roles. It is a drama directed by Darshan Bagga.",N/A,N/A,171,Jind Jaan
