city,theatre
hyderabad,Srilatha Cinema: Chanda Nagar
hyderabad,SVR`s Siva Sakthi Theatre: Kapra
hyderabad,Talluri Theatres: Kushaiguda
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,Alankar (Pratap Theatre): Langer House
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Aradhana Theatre: Hyderabad
hyderabad,Arjun 70MM: Kukatpally
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian Ganga 4K: Dilsukhnagar
hyderabad,Asian GPR Multiplex: Kukatpally
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,Asian Sha: Chintal
hyderabad,Asian Shahensha: Chintal
hyderabad,Bhujanga 70MM: Jeedimetla
hyderabad,BR Hitech 70mm: Madhapur
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Carnival: Ameerpet
hyderabad,Cine Town: Miyapur
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,Ganesh 70mm: Shamshabad
hyderabad,Gokul 70MM: Erragadda
hyderabad,Indra: Karmanghat
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,Mallikarjuna 70mm A/C DTS: Kukatpally
hyderabad,Manju Cinema: Kalasiguda
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad"
hyderabad,Nartaki Theatre: Alwal
hyderabad,Prasads: Hyderabad
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,"PVR: RK Cineplex, Hyderabad"
hyderabad,Raghavendra 70mm: Malkajgiri
hyderabad,Rajdhani 70mm: Dilsukhnagar
hyderabad,Sandhya 70mm Dolby Atmos: RTC X Roads
hyderabad,Sensation Sunshine: Khairatabad
hyderabad,"SPI: S2 Mallapur Noma Talkies, Secunderabad"
hyderabad,Sree Ramulu 70mm: Moosapet
hyderabad,Sri Krishna 70MM: Uppal
hyderabad,Srilatha Cinema: Chanda Nagar
hyderabad,SVR`s Siva Sakthi Theatre: Kapra
hyderabad,Talluri Theatres: Kushaiguda
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,Amba Theatre: Mehdipatnam
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Prasads: Hyderabad
hyderabad,Sai Ranga: Miyapur
hyderabad,Sri Prema: Tukkuguda
hyderabad,Talluri Theatres: Kushaiguda
hyderabad,Vimal 70mm: Balanagar
hyderabad,Vyjayanthi Cinema: Nacharam
hyderabad,Amba Theatre: Mehdipatnam
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Prasads: Hyderabad
hyderabad,Sai Ranga: Miyapur
hyderabad,Sri Prema: Tukkuguda
hyderabad,Vimal 70mm: Balanagar
hyderabad,Vyjayanthi Cinema: Nacharam
hyderabad,Amba Theatre: Mehdipatnam
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Prasads: Hyderabad
hyderabad,Sai Ranga: Miyapur
hyderabad,Sri Prema: Tukkuguda
hyderabad,Vimal 70mm: Balanagar
hyderabad,Vyjayanthi Cinema: Nacharam
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Amba Theatre: Mehdipatnam
