Acc,Cans,Kilograms,Fat,SNF,Date,Shift
3536,2,56,6.8,9.0,2017-09-03,1
795,4,139,7.8,9.0,2017-09-03,1
873,2,55,5.8,8.6,2017-09-03,1
3665,4,150,3.9,8.5,2017-09-03,1
865,1,39,6.8,8.8,2017-09-03,1
2959,2,47,7.1,8.8,2017-09-03,1
871,1,33,5.5,8.7,2017-09-03,1
893,1,28,6.4,8.5,2017-09-03,1
925,1,24,5.2,8.3,2017-09-03,1
457,2,43,4.4,8.2,2017-09-03,1
949,2,49,7.2,8.9,2017-09-03,1
873,2,70,5.3,8.6,2017-09-03,0
3665,3,100,3.3,8.5,2017-09-03,0
865,1,29,6.3,8.8,2017-09-03,0
2959,2,43,6.5,8.8,2017-09-03,0
871,2,61,5.8,8.5,2017-09-03,0
893,1,37,5.3,8.5,2017-09-03,0
925,1,31,5.6,8.3,2017-09-03,0
457,1,10,6.9,8.3,2017-09-03,0
3536,1,35,5.5,8.9,2017-09-03,0
949,2,75,6.0,8.9,2017-09-03,0
795,4,121,7.8,9.0,2017-09-03,0
925,1,21,5.0,8.1,2017-09-04,1
893,1,27,7.1,8.3,2017-09-04,1
786,1,11,5.3,8.3,2017-09-04,1
871,1,19,5.9,8.2,2017-09-04,1
457,1,15,6.0,8.5,2017-09-04,1
865,2,44,6.8,8.6,2017-09-04,1
3665,3,83,5.1,9.0,2017-09-04,1
873,2,58,6.2,8.2,2017-09-04,1
795,3,148,6.3,9.0,2017-09-04,1
2959,2,70,6.7,8.5,2017-09-04,1
3536,2,64,6.8,8.8,2017-09-04,1
3536,1,35,5.8,8.8,2017-09-04,0
795,3,149,6.4,9.0,2017-09-04,0
949,2,71,5.7,8.9,2017-09-04,0
457,1,14,6.6,8.5,2017-09-04,0
925,1,29,5.0,8.2,2017-09-04,0
893,1,33,6.1,8.3,2017-09-04,0
786,1,22,4.9,8.2,2017-09-04,0
949,2,66,7.3,8.9,2017-09-04,1
2959,2,42,6.5,8.7,2017-09-04,0
865,1,22,6.1,8.5,2017-09-04,0
3665,3,106,5.0,9.0,2017-09-04,0
873,2,68,5.2,8.2,2017-09-04,0
871,2,60,5.8,8.3,2017-09-04,0
457,1,12,5.7,8.2,2017-09-05,1
795,4,154,6.1,9.0,2017-09-05,1
873,2,55,6.2,8.5,2017-09-05,1
3665,3,87,5.0,9.0,2017-09-05,1
865,1,32,6.6,8.6,2017-09-05,1
2959,2,73,7.1,8.5,2017-09-05,1
871,1,34,6.0,8.4,2017-09-05,1
786,1,12,5.3,8.3,2017-09-05,1
893,1,38,6.6,8.2,2017-09-05,1
925,1,24,5.5,8.3,2017-09-05,1
3536,2,63,6.4,8.7,2017-09-05,1
949,2,61,7.6,8.6,2017-09-05,1
795,3,135,6.1,9.0,2017-09-05,0
3536,1,28,5.3,8.6,2017-09-05,0
457,1,10,5.4,8.2,2017-09-05,0
925,1,37,5.3,8.1,2017-09-05,0
893,1,33,6.2,8.2,2017-09-05,0
786,1,9,6.0,8.3,2017-09-05,0
949,2,67,5.8,8.6,2017-09-05,0
2959,2,43,6.4,8.5,2017-09-05,0
865,1,21,6.1,8.4,2017-09-05,0
3665,3,114,4.9,9.0,2017-09-05,0
873,2,63,5.4,8.3,2017-09-05,0
871,2,67,5.7,8.1,2017-09-05,0
457,2,45,5.3,8.1,2017-09-06,1
795,4,122,7.5,9.0,2017-09-06,1
873,2,55,5.9,8.4,2017-09-06,1
3665,3,85,7.6,9.0,2017-09-06,1
865,1,24,7.3,8.5,2017-09-06,1
2959,2,77,7.0,8.4,2017-09-06,1
871,1,21,5.4,8.5,2017-09-06,1
786,1,10,4.9,8.2,2017-09-06,1
893,1,25,6.5,8.2,2017-09-06,1
925,1,22,5.4,8.2,2017-09-06,1
3536,2,63,6.1,8.7,2017-09-06,1
949,2,60,7.5,8.8,2017-09-06,1
795,3,98,7.5,9.0,2017-09-06,0
3536,1,36,5.5,8.7,2017-09-06,0
457,1,27,5.4,8.3,2017-09-06,0
925,1,37,5.5,8.1,2017-09-06,0
893,1,33,6.1,8.4,2017-09-06,0
786,1,13,5.5,8.2,2017-09-06,0
949,2,59,5.8,8.7,2017-09-06,0
2959,2,44,6.3,8.5,2017-09-06,0
865,1,25,6.9,8.3,2017-09-06,0
3665,3,50,7.5,9.0,2017-09-06,0
873,2,64,5.0,8.4,2017-09-06,0
871,2,53,5.8,8.2,2017-09-06,0
457,1,13,6.5,8.5,2017-09-07,1
795,5,190,7.7,8.6,2017-09-07,1
873,2,58,5.9,8.6,2017-09-07,1
3665,2,71,7.0,9.0,2017-09-07,1
865,1,40,6.9,8.4,2017-09-07,1
2959,2,71,6.9,8.6,2017-09-07,1
871,1,32,5.6,8.3,2017-09-07,1
786,1,10,5.1,8.3,2017-09-07,1
893,1,29,6.2,8.3,2017-09-07,1
925,1,26,5.2,8.1,2017-09-07,1
3536,2,61,6.3,8.4,2017-09-07,1
949,2,70,7.1,8.5,2017-09-07,1
795,4,125,7.7,8.7,2017-09-07,0
873,2,60,5.2,8.5,2017-09-07,0
3665,3,115,7.0,9.0,2017-09-07,0
865,1,25,6.3,8.5,2017-09-07,0
2959,1,40,6.9,8.6,2017-09-07,0
871,2,75,5.6,8.2,2017-09-07,0
786,1,9,5.7,8.4,2017-09-07,0
893,1,30,6.0,8.3,2017-09-07,0
925,1,37,5.4,8.2,2017-09-07,0
457,2,45,5.1,8.0,2017-09-07,0
3536,1,30,5.3,8.4,2017-09-07,0
949,2,62,5.8,8.5,2017-09-07,0
457,2,46,4.6,8.2,2017-09-08,1
925,1,24,5.5,8.2,2017-09-08,1
893,1,24,6.6,8.4,2017-09-08,1
871,2,43,6.1,8.0,2017-09-08,1
795,4,135,7.3,8.7,2017-09-08,1
865,1,29,7.0,8.3,2017-09-08,1
3665,3,117,7.1,9.0,2017-09-08,1
873,2,59,6.0,8.3,2017-09-08,1
3536,1,4,7.3,8.7,2017-09-08,1
2959,2,73,7.2,8.3,2017-09-08,1
949,2,58,7.6,8.8,2017-09-08,1
786,1,12,5.3,8.3,2017-09-08,1
873,2,70,5.2,8.4,2017-09-08,0
949,2,58,5.9,8.8,2017-09-08,0
3536,1,26,5.1,8.5,2017-09-08,0
457,1,28,5.6,8.2,2017-09-08,0
925,1,37,5.3,8.2,2017-09-08,0
893,1,33,6.3,8.3,2017-09-08,0
795,4,121,7.3,8.7,2017-09-08,0
871,2,71,6.0,8.1,2017-09-08,0
2959,1,36,6.2,8.2,2017-09-08,0
865,1,25,6.1,8.5,2017-09-08,0
3665,4,121,7.2,9.0,2017-09-08,0
786,1,10,5.0,8.3,2017-09-08,0
925,1,23,6.0,8.3,2017-09-09,1
893,1,28,7.1,8.4,2017-09-09,1
786,1,11,5.4,8.2,2017-09-09,1
871,2,43,6.0,8.4,2017-09-09,1
2959,2,68,7.3,8.6,2017-09-09,1
3665,4,170,8.2,9.0,2017-09-09,1
873,2,59,6.2,8.4,2017-09-09,1
471,1,6,6.4,8.1,2017-09-09,1
795,4,142,7.8,8.7,2017-09-09,1
457,2,41,5.0,8.1,2017-09-09,1
865,2,42,7.2,8.5,2017-09-09,1
3536,2,62,7.2,8.3,2017-09-09,1
949,2,64,7.7,8.4,2017-09-09,1
795,4,130,8.1,8.7,2017-09-09,0
949,2,63,5.7,8.4,2017-09-09,0
3536,1,27,5.7,8.4,2017-09-09,0
457,2,50,5.4,8.3,2017-09-09,0
925,1,34,5.1,8.3,2017-09-09,0
786,1,10,5.0,8.3,2017-09-09,0
893,1,31,6.3,8.3,2017-09-09,0
2959,1,33,6.4,8.6,2017-09-09,0
865,1,31,6.3,8.7,2017-09-09,0
3665,4,140,3.0,8.5,2017-09-09,0
873,2,54,4.4,8.4,2017-09-09,0
471,1,9,5.6,8.8,2017-09-09,0
871,2,74,5.4,8.2,2017-09-09,0
786,1,10,5.3,8.3,2017-09-10,1
925,1,25,5.6,8.2,2017-09-10,1
893,1,35,6.7,8.4,2017-09-10,1
871,1,36,5.9,8.3,2017-09-10,1
795,4,124,7.1,8.6,2017-09-10,1
865,1,38,6.9,8.4,2017-09-10,1
3665,4,150,8.2,9.0,2017-09-10,1
873,2,49,6.3,8.4,2017-09-10,1
471,1,5,6.6,8.3,2017-09-10,1
3536,2,55,6.7,8.7,2017-09-10,1
2959,2,57,7.3,8.5,2017-09-10,1
949,2,48,7.4,8.8,2017-09-10,1
457,1,24,4.8,8.1,2017-09-10,1
471,1,5,6.0,8.9,2017-09-10,0
795,3,101,7.7,8.7,2017-09-10,0
949,2,56,5.9,8.8,2017-09-10,0
3536,1,24,5.6,8.6,2017-09-10,0
457,1,40,5.3,8.2,2017-09-10,0
893,1,28,6.3,8.4,2017-09-10,0
925,1,24,5.1,8.2,2017-09-10,0
871,2,75,5.0,8.2,2017-09-10,0
2959,2,41,6.6,8.4,2017-09-10,0
865,1,26,6.1,8.4,2017-09-10,0
3665,3,81,3.2,8.5,2017-09-10,0
873,2,47,4.7,8.3,2017-09-10,0
786,1,10,5.1,8.2,2017-09-10,0
786,1,10,5.5,8.3,2017-09-11,1
457,1,32,5.3,8.2,2017-09-11,1
925,1,23,6.0,8.2,2017-09-11,1
893,1,29,7.3,8.5,2017-09-11,1
871,1,37,5.9,8.3,2017-09-11,1
795,4,122,7.7,8.6,2017-09-11,1
865,1,39,7.2,8.5,2017-09-11,1
3665,3,115,8.3,9.0,2017-09-11,1
873,2,57,6.2,8.4,2017-09-11,1
471,1,6,6.3,8.2,2017-09-11,1
2959,2,66,7.7,8.7,2017-09-11,1
949,2,69,7.2,8.9,2017-09-11,1
3536,2,55,6.3,8.7,2017-09-11,1
471,1,4,6.1,8.7,2017-09-11,0
795,3,110,7.6,8.7,2017-09-11,0
949,2,66,6.0,8.9,2017-09-11,0
3536,1,26,5.5,8.6,2017-09-11,0
925,1,33,5.1,8.3,2017-09-11,0
893,1,27,6.1,8.5,2017-09-11,0
457,1,16,5.5,8.5,2017-09-11,0
871,2,56,5.4,8.3,2017-09-11,0
2959,1,38,6.2,8.7,2017-09-11,0
865,1,24,6.0,8.5,2017-09-11,0
3665,3,95,8.2,9.0,2017-09-11,0
873,2,51,4.6,8.4,2017-09-11,0
786,1,9,5.0,8.3,2017-09-11,0
865,1,27,6.4,8.3,2017-09-12,0
795,4,127,7.4,8.8,2017-09-12,0
471,1,3,5.9,9.0,2017-09-12,0
873,2,49,5.2,8.2,2017-09-12,0
3665,4,160,7.3,8.8,2017-09-12,0
2959,1,36,6.8,8.3,2017-09-12,0
3536,1,16,6.3,8.2,2017-09-12,0
871,2,65,5.4,8.1,2017-09-12,0
786,1,5,7.3,8.0,2017-09-12,0
893,1,27,6.6,8.2,2017-09-12,0
